run,depth,lr,l2,cv_rmse,cv_rmse_std,cv_mae,cv_r2
3,4,0.03,3.0,347.9425811103779,48.729790783020775,226.29241496331824,0.6578415700201026
5,4,0.05,3.0,349.01283464376075,46.42021000612064,227.70856665599075,0.6559976916678668
10,6,0.03,10.0,349.3412807727037,48.42257976660157,225.9271653428927,0.6558424596317318
4,4,0.03,10.0,349.95325364798964,48.966789155093814,226.36909394419973,0.6541628240477761
8,6,0.02,10.0,350.10004783288514,47.8830521906215,225.99318944176974,0.6537938526683587
12,6,0.05,10.0,350.49475311152275,48.84076954399437,225.49677177019203,0.6538571768664984
2,4,0.02,10.0,350.59318291394175,48.70893714320938,227.7270783520603,0.6523396954343124
1,4,0.02,3.0,350.94487350876665,48.168608636857094,228.68319707097208,0.6523880336598211
16,8,0.03,10.0,351.99424114791384,47.543140491119715,225.95614406091485,0.6503656905384145
6,4,0.05,10.0,352.0733874536968,45.58281501687086,228.4184279784998,0.6499381307959748
7,6,0.02,3.0,352.15613946301664,46.29719927931901,227.02384721109007,0.6501164194153752
9,6,0.03,3.0,353.27150342916025,47.669073545280575,229.03965975326227,0.6479542964913472
14,8,0.02,10.0,353.4244509163255,47.08731491243848,226.44130815534635,0.6475575954089972
11,6,0.05,3.0,353.8056174296046,46.87104853681079,228.23983424893586,0.6471076213992701
18,8,0.05,10.0,356.5069595132341,50.55975363483696,228.30659320759855,0.6418599342412812
15,8,0.03,3.0,356.92166980898276,49.589618116605756,228.87471884730311,0.6410384906807339
13,8,0.02,3.0,357.0267760937933,52.03088875905687,228.5317110620252,0.6410793705507114
17,8,0.05,3.0,357.25900478552956,49.95140467158889,230.1302368890249,0.6397116236838022
